Tow,Date,Time,Month,Year,SamplingPeriod,Location,Habitat,Basin,Basin2,Latitude,Longitude,Preservative,Start Depth,End Depth,Average Depth,Tow Time,Fish Start,Fish End,Difference,Rotor Constant,Distance (m) (Difference x RC),Fish Diameter(m),Fish Dia Squared,pi,Fish Volume2,Water Temperature (oC),Temp Corrected,Source for Temp correction,EC,Salinity,EstSalinity,NTU,Secchi (cm),Warp Length (ft),Wire Angle (degrees),longfin_smelt,LFden,Pacific_herring,PHden,delta_smelt,American shad,arrow_goby,bay_pipefish,bigscale_logperch,bluegill,cheekspot_goby,Chinook_salmon,common_carp,fish_eggs,gobies,golden_shiner,inland_silverside,inland_silverside_eggs,jacksmelt,larval_postlarval_fish,longjaw_mudsucker,minnows_and_carps,No_eggs,no_fish,northern_anchovy,Pacific_staghorn_sculpin,prickly_sculpin,rainwater_killifish,Sample_Voided,shimofuri_goby,smelts,splittail,striped_bass,striped bass eggs,sunfishes,threadfin_shad,threespine_stickleback,tule_perch,wakasagi_smelt,white_croaker,yellowfin_goby,Mysid,Mysid Den,Comments,,,,,,,
215,5/18/2016,12:47:00 PM,5,2016,2,Winter,Shoal,SB,SB,38.021883,-121.77368,,12.6,6,9.3,3,21846,23875,2029,26873,54.53,0.75,0.5625,3.14,24.07635936,15.57,,,337,0.16,0.2,25.2,52,,,0,0,0,0,0,0,,,0,,,,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,,0,,0,0,3,0,0,1,0,0,0,0,13,,,,,,,,,,
211,5/18/2016,10:59:00 AM,5,2016,2,Honker Bay,Shoal,SB,SB,38.069514,-121.92396,,6.8,6.5,6.65,3,12780,14914,2134,26873,57.35,0.75,0.5625,3.14,25.32230206,14.69,,,2867,1.51,1.7,86.6,23,,,0,0,0,0,0,0,,,0,,,,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,53,0,0,0,0,0,0,0,203,,,,,,,,,,
210,5/18/2016,10:39:00 AM,5,2016,2,Honker Bay,Shoal,SB,SB,38.057043,-121.94065,,3.1,7,5.05,3,10464,12760,2296,26873,61.70,0.75,0.5625,3.14,27.24461365,14.75,,,1161,0.58,0.6,47,35,,,0,0,0,0,0,0,,,0,,,,2,0,89,0,0,0,0,4,0,0,0,0,0,0,0,,0,,0,0,10,0,0,0,0,0,0,0,105,,,,,,,,,,
214,5/18/2016,12:16:00 PM,5,2016,2,Brown,Shoal,SB,SB,38.057128,-121.86077,,4.3,4,4.15,3,19351,21846,2495,26873,67.05,0.75,0.5625,3.14,29.60597172,14.96,,,829,0.41,0.5,42.3,31,,,0,0,0,0,0,0,,,0,,,,0,0,31,0,1,0,0,8,0,0,0,0,0,0,0,,0,,0,0,285,0,0,0,0,0,0,1,326,,,,,,,,,,
182,5/4/2016,12:33:00 PM,5,2016,2,Honker Bay,Shoal,SB,SB,38.062157,-121.93075,,8.1,8.2,8.15,3,779875,783144,3269,26873,87.85,0.75,0.5625,3.14,38.79034932,13.12,,,2978,1.56,1.7,104.1,39,,,0,0,0,0,0,0,,,0,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,,0,,0,0,0,0,0,0,0,0,1,0,6,,,,,,,,,,
140,3/7/2017,10:18:00 AM,3,2017,1,Roe Island ,Tidal Marsh,SB,SB,38.071158,-122.03683,Formadahyde,7.8,5.3,6.6,3,742690,742948,258,26873,6.93,0.75,0.5625,3.14,29.8,11.11,11.11,Regression,172,,0.1,33.9,29,na,na,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,0,0,15,0,,0,0,0,0,,0,,0,,0,0,0,0,0,,,,,,,,
213,5/18/2016,11:49:00 AM,5,2016,2,Mallard,Tidal Marsh,SB,SB,38.043298,-121.9352,,3.9,6,4.95,3.25,19938,19351,,26873,0.00,0.75,0.5625,3.14,29.8,15.29,,,1358,0.68,0.8,39.4,33,,,0,0,0,0,0,0,,,0,,,,0,0,125,0,2,0,0,0,0,0,0,0,0,0,0,,0,,0,0,6,0,0,2,0,0,0,0,135,,,,,,,,,,
212,5/18/2016,11:26:00 AM,5,2016,2,Chipps,Tidal Marsh,SB,SB,38.053378,-121.9331,,9.7,9.3,9.5,3.47,14914,19938,5024,26873,135.01,0.75,0.5625,3.14,59.61539155,15.51,,,3432,1.83,2,51.7,32,,,0,0,1,34.36386359,0,0,,,0,,,,0,0,170,0,5,0,0,4,0,0,0,0,0,0,0,,0,,0,0,4,0,0,0,0,0,0,0,184,,,,,,,,,,
183,5/4/2016,1:00:00 PM,5,2016,2,Chipps,Tidal Marsh,SB,SB,38.054763,-121.91859,,2.9,3,2.95,4,783144,787400,4256,26873,114.37,0.75,0.5625,3.14,50.50221067,13.03,,,3928,2.09,2.3,94.1,20,,,0,0,0,0,0,0,,,0,,,,1,0,3,0,2,0,0,0,0,0,0,0,0,1,0,,0,,0,0,5,0,0,0,0,0,1,0,13,,,,,,,,,,
189,5/4/2016,3:01:00 PM,5,2016,2,Brown,Tidal Marsh,SB,SB,38.042239,-121.87279,,2.9,3,2.95,4,808904,814088,5184,26873,139.31,0.75,0.5625,3.14,61.51397089,14.24,,,1493,0.77,0.8,36.2,32,,,0,0,0,0,0,0,,,0,,,,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,,0,,0,0,5,0,0,0,0,0,0,2,13,,,,,,,,,,
