,Date,Station,TowTime,Tide,BottomDepth,CableOut,Duration,NetMeterSerial,NetMeterStart,NetMeterEnd,NetMeterCheck,trawl_key,Temp,TopEC,BottomEC,Secchi,Turbidity,Lat,Long,Catch,1/4 Subsampled,1/2 Subsampled,CatchID,3mm,4mm,5mm,6mm,7mm,8mm,9mm,10mm,11mm,12mm,13mm,14mm,15mm,16mm,17mm,18mm,19mm,20mm,21mm,22mm,23mm,24mm,25mm,26mm,27mm,28mm,29mm,30mm,kfactor,TopSal,BottomSal,Volume,dens_3-5,dens_6-7,dens_8-9,dens_10-11,dens_12-13,dens_14+,dens_21+,lat_dd,lon_dd,lat_dd_stn,lon_dd_stn,lfs_region,lfs_region_num,dn,Year,Month,survey_num,dens_gt_12
0,1/5/2009 0:00,809,1899-12-30 09:23:00,4,47,155,10,21920,60499,82939,22440,20090105_809,7.7,1424,1548,70,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265876,1.090416116,1.189416855,220.7515253,0,0,0,0,0,0,0,,,38.0525,-121.6891944,Confluence,5,733412.391,2009,1,1,0
1,1/5/2009 0:00,901,1899-12-30 09:50:00,4,10,45,10,21920,83559,103451,19892,20090105_901,7.7,856,883,95,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265876,0.640223675,0.661191415,195.6857995,0,0,0,0,0,0,0,,,38.04827778,-121.59525,Central_Delta_and_Franks_Tract,0,733412.4097,2009,1,1,0
2,1/5/2009 0:00,902,1899-12-30 10:12:00,4,26,110,10,21920,103454,124337,20883,20090105_902,7.4,858,777,92,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265876,0.647273316,0.583459879,205.4346748,0,0,0,0,0,0,0,,,38.01919444,-121.5821944,South_Delta,3,733412.425,2009,1,1,0
3,1/5/2009 0:00,915,1899-12-30 10:41:00,4,21,90,10,21920,124337,146419,22082,20090105_915,7.5,803,801,140,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265876,0.602363094,0.600589034,217.2297318,0,0,0,0,0,0,0,,,37.9425,-121.5635,South_Delta,3,733412.4451,2009,1,1,0
4,1/5/2009 0:00,918,1899-12-30 11:20:00,4,25,90,10,21920,146419,167578,21159,20090105_918,7.6,787,758,154,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265876,0.588192289,0.565401202,208.1498005,0,0,0,0,0,0,0,,,37.85930556,-121.5688056,South_Delta,3,733412.4722,2009,1,1,0
5,1/5/2009 0:00,914,1899-12-30 12:08:00,4,35,110,10,21920,167578,188797,21219,20090105_914,7.8,604,601,157,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265876,0.444165653,0.441620873,208.7400452,0,0,0,0,0,0,0,,,37.9715,-121.52,South_Delta,3,733412.5056,2009,1,1,0
6,1/5/2009 0:00,910,1899-12-30 12:49:00,4,40,155,10,21920,188797,211813,23016,20090105_910,8.2,548,587,77,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026873027,0.397050132,0.426110948,228.8485481,0,0,0,0,0,0,0,,,38.00180556,-121.4486944,South_Delta,3,733412.534,2009,1,1,0
7,1/5/2009 0:00,912,1899-12-30 13:26:00,4,36,140,10,21920,225510,247557,22047,20090105_912,8.2,997,991,63,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026873027,0.740167461,0.735081432,219.2137617,0,0,0,0,0,0,0,,,37.966,-121.3673056,South_Delta,3,733412.5597,2009,1,1,0
8,1/5/2009 0:00,906,1899-12-30 14:23:00,2,39,140,10,21920,247554,267406,19852,20090105_906,8,469,478,129,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265876,0.339841858,0.346368474,195.292303,0,0,0,0,0,0,0,,,38.05169444,-121.509,Central_Delta_and_Franks_Tract,0,733412.5993,2009,1,1,0
9,1/5/2009 0:00,919,1899-12-30 14:54:00,2,17,75,10,21920,267406,288622,21216,20090105_919,7.7,263,265,194,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265876,0.188882021,0.190302348,208.710533,0,0,0,0,0,0,0,,,38.10480556,-121.492,North_and_South_Forks_Mokelumne_River,2,733412.6208,2009,1,1,0
