region#,region_name,area,vol_top_2_m,vol_top_4_m,vol_top_10_m,vol_top_999_m
0,Central Delta and Franks Tract,41277343.6,73461664.97,121238847.4,182176158.7,200864666.2
1,Upper Sacramento River,26357706.39,33018478.24,58721597.73,82780765.45,83335786.01
2,North and South Forks Mokelumne River,22608750.23,32540378.39,53964336.62,71484505.69,72501671.96
3,South Delta,55074885.95,81644533.82,138861469.3,192729000,197229704.5
4,Cache Slough Complex,52473123.84,54368052.72,82525193.71,127091266.3,136421712.1
5,Confluence,85471603.16,127687816.6,220774332.4,396483887.6,433965722.8
6,Suisun Bay,137253178.3,190994132.6,299891127.8,464137601.6,506215131.2
7,Carquinez Strait,24297072.9,40735919.3,73801309.08,159602102.1,267846735.4
8,Suisun Marsh,32523169.15,22801037.31,37531540.44,52620366.71,53332647.21
9,San Pablo Bay,296383203.9,488958157.6,734603291.8,986583840.5,1087036470
10,Petaluma,27899550.56,6294168.783,9147294.21,9709102.973,9709864.109
11,South SF Bay,456558752.2,861304458.3,1471601455,2365442950,2758653111
12,Central SF Bay,233338056.9,408001237.9,733497648.2,1378043164,2447419544
13,Lower South SF Bay,85884678.6,68075957.77,80001680.4,91010852.21,94973988.94
14,Napa Sonoma,65560178.24,29965447.33,40580260.31,51503322.93,51819269.12
